Filename,Label,ClassName
Highway\Highway_1628.tif,3,Highway
Forest\Forest_2258.tif,1,Forest
HerbaceousVegetation\HerbaceousVegetation_2750.tif,2,HerbaceousVegetation
AnnualCrop\AnnualCrop_1492.tif,0,AnnualCrop
HerbaceousVegetation\HerbaceousVegetation_2439.tif,2,HerbaceousVegetation
HerbaceousVegetation\HerbaceousVegetation_2433.tif,2,HerbaceousVegetation
Forest\Forest_2513.tif,1,Forest
Forest\Forest_508.tif,1,Forest
Pasture\Pasture_869.tif,5,Pasture
Forest\Forest_2865.tif,1,Forest
SeaLake\SeaLake_498.tif,9,SeaLake
Highway\Highway_1174.tif,3,Highway
PermanentCrop\PermanentCrop_2257.tif,6,PermanentCrop
Forest\Forest_163.tif,1,Forest
Industrial\Industrial_1929.tif,4,Industrial
SeaLake\SeaLake_227.tif,9,SeaLake
Residential\Residential_1882.tif,7,Residential
PermanentCrop\PermanentCrop_875.tif,6,PermanentCrop
Forest\Forest_2384.tif,1,Forest
Forest\Forest_2460.tif,1,Forest
HerbaceousVegetation\HerbaceousVegetation_1260.tif,2,HerbaceousVegetation
River\River_1804.tif,8,River
SeaLake\SeaLake_813.tif,9,SeaLake
Forest\Forest_881.tif,1,Forest
River\River_299.tif,8,River
Highway\Highway_2252.tif,3,Highway
Industrial\Industrial_2086.tif,4,Industrial
Highway\Highway_445.tif,3,Highway
Industrial\Industrial_1985.tif,4,Industrial
HerbaceousVegetation\HerbaceousVegetation_1032.tif,2,HerbaceousVegetation
SeaLake\SeaLake_1661.tif,9,SeaLake
AnnualCrop\AnnualCrop_2783.tif,0,AnnualCrop
Residential\Residential_2768.tif,7,Residential
SeaLake\SeaLake_2999.tif,9,SeaLake
AnnualCrop\AnnualCrop_1799.tif,0,AnnualCrop
Residential\Residential_2084.tif,7,Residential
AnnualCrop\AnnualCrop_301.tif,0,AnnualCrop
Highway\Highway_1704.tif,3,Highway
AnnualCrop\AnnualCrop_832.tif,0,AnnualCrop
AnnualCrop\AnnualCrop_457.tif,0,AnnualCrop
HerbaceousVegetation\HerbaceousVegetation_2706.tif,2,HerbaceousVegetation
HerbaceousVegetation\HerbaceousVegetation_2095.tif,2,HerbaceousVegetation
Pasture\Pasture_1289.tif,5,Pasture
AnnualCrop\AnnualCrop_59.tif,0,AnnualCrop
AnnualCrop\AnnualCrop_1089.tif,0,AnnualCrop
Residential\Residential_2633.tif,7,Residential
SeaLake\SeaLake_290.tif,9,SeaLake
HerbaceousVegetation\HerbaceousVegetation_1512.tif,2,HerbaceousVegetation
Residential\Residential_2986.tif,7,Residential
River\River_322.tif,8,River
HerbaceousVegetation\HerbaceousVegetation_1432.tif,2,HerbaceousVegetation
HerbaceousVegetation\HerbaceousVegetation_2217.tif,2,HerbaceousVegetation
SeaLake\SeaLake_1217.tif,9,SeaLake
Forest\Forest_267.tif,1,Forest
River\River_2054.tif,8,River
River\River_726.tif,8,River
Highway\Highway_1474.tif,3,Highway
SeaLake\SeaLake_2655.tif,9,SeaLake
Highway\Highway_1973.tif,3,Highway
AnnualCrop\AnnualCrop_2667.tif,0,AnnualCrop
Pasture\Pasture_1906.tif,5,Pasture
HerbaceousVegetation\HerbaceousVegetation_865.tif,2,HerbaceousVegetation
PermanentCrop\PermanentCrop_1560.tif,6,PermanentCrop
River\River_73.tif,8,River
SeaLake\SeaLake_1771.tif,9,SeaLake
Industrial\Industrial_1674.tif,4,Industrial
Highway\Highway_672.tif,3,Highway
Residential\Residential_747.tif,7,Residential
AnnualCrop\AnnualCrop_1298.tif,0,AnnualCrop
PermanentCrop\PermanentCrop_1583.tif,6,PermanentCrop
Residential\Residential_2335.tif,7,Residential
SeaLake\SeaLake_702.tif,9,SeaLake
SeaLake\SeaLake_351.tif,9,SeaLake
Highway\Highway_1641.tif,3,Highway
Residential\Residential_316.tif,7,Residential
HerbaceousVegetation\HerbaceousVegetation_2740.tif,2,HerbaceousVegetation
HerbaceousVegetation\HerbaceousVegetation_247.tif,2,HerbaceousVegetation
PermanentCrop\PermanentCrop_1910.tif,6,PermanentCrop
Industrial\Industrial_1019.tif,4,Industrial
River\River_1783.tif,8,River
HerbaceousVegetation\HerbaceousVegetation_850.tif,2,HerbaceousVegetation
SeaLake\SeaLake_1458.tif,9,SeaLake
Residential\Residential_2620.tif,7,Residential
Forest\Forest_2952.tif,1,Forest
SeaLake\SeaLake_185.tif,9,SeaLake
AnnualCrop\AnnualCrop_303.tif,0,AnnualCrop
Residential\Residential_359.tif,7,Residential
Residential\Residential_399.tif,7,Residential
Forest\Forest_1513.tif,1,Forest
Forest\Forest_2678.tif,1,Forest
AnnualCrop\AnnualCrop_597.tif,0,AnnualCrop
Forest\Forest_258.tif,1,Forest
AnnualCrop\AnnualCrop_1556.tif,0,AnnualCrop
HerbaceousVegetation\HerbaceousVegetation_686.tif,2,HerbaceousVegetation
Industrial\Industrial_1460.tif,4,Industrial
SeaLake\SeaLake_1901.tif,9,SeaLake
Residential\Residential_128.tif,7,Residential
Industrial\Industrial_1472.tif,4,Industrial
HerbaceousVegetation\HerbaceousVegetation_2742.tif,2,HerbaceousVegetation
PermanentCrop\PermanentCrop_618.tif,6,PermanentCrop
AnnualCrop\AnnualCrop_1680.tif,0,AnnualCrop
Residential\Residential_1287.tif,7,Residential
Industrial\Industrial_155.tif,4,Industrial
AnnualCrop\AnnualCrop_1424.tif,0,AnnualCrop
Industrial\Industrial_2077.tif,4,Industrial
SeaLake\SeaLake_590.tif,9,SeaLake
AnnualCrop\AnnualCrop_577.tif,0,AnnualCrop
Industrial\Industrial_332.tif,4,Industrial
PermanentCrop\PermanentCrop_1072.tif,6,PermanentCrop
